epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1162.64,0.91513,0.77946,1.26444,0.76076,0.65152,0.75009,0.57281,1.37812,1.0151,1.19182,0.00101769,0.00101769,0.00101769
43,1189.46,0.90646,0.80659,1.25889,0.85688,0.72182,0.80866,0.62118,1.27822,0.85959,1.13023,0.00100921,0.00100921,0.00100921
44,1216.81,0.92201,0.75722,1.23171,0.71133,0.74709,0.75331,0.58035,1.28739,0.98579,1.09901,0.00100057,0.00100057,0.00100057
45,1243.68,0.90559,0.75057,1.23298,0.72402,0.71772,0.73302,0.56039,1.34204,1.08921,1.13376,0.000991772,0.000991772,0.000991772
46,1270.58,0.88398,0.74939,1.2435,0.74413,0.71588,0.7398,0.55073,1.35743,1.05622,1.16241,0.00098283,0.00098283,0.00098283
47,1297.59,0.89545,0.73326,1.23898,0.70705,0.70502,0.71404,0.511,1.43131,1.26248,1.2389,0.000973742,0.000973742,0.000973742
48,1325.03,0.88508,0.74137,1.22664,0.80782,0.76267,0.7999,0.61272,1.29766,0.86906,1.17808,0.000964512,0.000964512,0.000964512
49,1352.27,0.85514,0.72028,1.20873,0.76867,0.69106,0.75475,0.57871,1.28986,0.95897,1.10476,0.000955144,0.000955144,0.000955144
50,1379.67,0.84032,0.6822,1.21059,0.80557,0.80394,0.8201,0.62425,1.25159,0.79933,1.12364,0.000945642,0.000945642,0.000945642
51,1406.94,0.8693,0.70651,1.21088,0.81005,0.74004,0.79625,0.59831,1.27235,0.84902,1.0972,0.000936009,0.000936009,0.000936009
52,1433.94,0.87031,0.69635,1.20977,0.77922,0.73571,0.77087,0.59774,1.25567,0.8925,1.09866,0.000926248,0.000926248,0.000926248
53,1461.06,0.81819,0.69644,1.21226,0.86851,0.72004,0.8098,0.63403,1.24797,0.91231,1.07473,0.000916364,0.000916364,0.000916364
54,1488.41,0.83983,0.67441,1.20217,0.8134,0.76389,0.80823,0.60536,1.28826,0.87457,1.07375,0.00090636,0.00090636,0.00090636
55,1515.51,0.84297,0.66821,1.23064,0.8567,0.73833,0.80722,0.61757,1.25577,0.77629,1.14105,0.000896241,0.000896241,0.000896241
56,1542.38,0.83296,0.65101,1.1895,0.83061,0.76783,0.81518,0.64574,1.24691,0.7473,1.09072,0.00088601,0.00088601,0.00088601
57,1569.86,0.89658,0.68749,1.20122,0.89064,0.77154,0.84765,0.64995,1.2547,0.86883,1.07212,0.00087567,0.00087567,0.00087567
58,1597.33,0.8472,0.68143,1.18729,0.87426,0.72339,0.79293,0.61883,1.21196,0.86258,1.08379,0.000865227,0.000865227,0.000865227
59,1624.34,0.82853,0.67206,1.18381,0.75547,0.83701,0.82435,0.62611,1.23983,0.87833,1.10851,0.000854684,0.000854684,0.000854684
60,1651.49,0.80882,0.66047,1.18346,0.81222,0.72594,0.78526,0.61436,1.26114,0.90567,1.0971,0.000844045,0.000844045,0.000844045
61,1678.4,0.77942,0.64301,1.18143,0.84507,0.80303,0.84817,0.63691,1.23802,0.77857,1.10362,0.000833314,0.000833314,0.000833314
62,1705.15,0.8605,0.6927,1.18489,0.89182,0.76614,0.84002,0.64852,1.21827,0.74311,1.08882,0.000822495,0.000822495,0.000822495
63,1732.12,0.81785,0.6433,1.17973,0.8254,0.76583,0.82241,0.62892,1.25176,0.89511,1.06141,0.000811594,0.000811594,0.000811594
64,1759.02,0.83818,0.66161,1.19869,0.81393,0.76956,0.81399,0.63283,1.22346,0.76182,1.07899,0.000800612,0.000800612,0.000800612
65,1785.97,0.79687,0.63049,1.17084,0.80234,0.75562,0.81345,0.62346,1.24933,0.80735,1.03991,0.000789556,0.000789556,0.000789556
66,1813.11,0.80129,0.60819,1.18391,0.85781,0.77286,0.83158,0.65085,1.19903,0.76865,1.07773,0.000778429,0.000778429,0.000778429
67,1840.68,0.82485,0.60962,1.15714,0.78998,0.81644,0.82285,0.60435,1.27916,0.94767,1.07655,0.000767236,0.000767236,0.000767236
68,1867.56,0.82489,0.63878,1.18125,0.86082,0.71309,0.79904,0.61005,1.26747,0.76304,1.08007,0.00075598,0.00075598,0.00075598
69,1894.6,0.7974,0.62665,1.18303,0.83931,0.76501,0.83216,0.6332,1.23372,0.78833,1.05729,0.000744667,0.000744667,0.000744667
70,1921.53,0.8286,0.6457,1.15101,0.85663,0.79493,0.84348,0.66521,1.18671,0.71162,1.07015,0.0007333,0.0007333,0.0007333
71,1948.63,0.79508,0.62122,1.16225,0.84112,0.74375,0.81493,0.61573,1.24885,0.7937,1.10279,0.000721884,0.000721884,0.000721884
72,1975.45,0.82993,0.63028,1.17406,0.75381,0.78402,0.80348,0.62439,1.24998,0.77805,1.06318,0.000710423,0.000710423,0.000710423
73,2002.64,0.81218,0.62645,1.16843,0.76992,0.79012,0.81101,0.63149,1.19621,0.86841,1.09792,0.000698922,0.000698922,0.000698922
74,2029.34,0.80909,0.58107,1.16659,0.84253,0.79814,0.84572,0.64093,1.23345,0.81904,1.05491,0.000687385,0.000687385,0.000687385
75,2056.25,0.8464,0.6021,1.15785,0.83119,0.78075,0.83007,0.6384,1.22562,0.81253,1.13727,0.000675817,0.000675817,0.000675817
76,2083.22,0.81596,0.60355,1.13487,0.81824,0.75232,0.81754,0.6353,1.2305,0.71774,1.05116,0.000664222,0.000664222,0.000664222
77,2110.04,0.74989,0.57612,1.13863,0.85591,0.78204,0.8523,0.66072,1.19191,0.69045,1.0732,0.000652605,0.000652605,0.000652605
78,2136.92,0.79314,0.58146,1.13824,0.89035,0.78239,0.85591,0.66663,1.21861,0.70528,1.06401,0.000640969,0.000640969,0.000640969
79,2164.37,0.79347,0.59639,1.11858,0.81763,0.77852,0.80956,0.63201,1.21887,0.75653,1.05748,0.00062932,0.00062932,0.00062932
80,2191.38,0.81774,0.57523,1.10641,0.88113,0.80306,0.85013,0.66949,1.21293,0.76392,1.04724,0.000617662,0.000617662,0.000617662
81,2218.72,0.78807,0.56116,1.1276,0.86626,0.77434,0.84601,0.64538,1.2101,0.73291,1.0681,0.000606,0.000606,0.000606
82,2245.85,0.75155,0.56108,1.13553,0.79057,0.84347,0.83896,0.65254,1.16821,0.67019,1.03471,0.000594338,0.000594338,0.000594338
83,2272.72,0.78903,0.54706,1.12203,0.78419,0.81871,0.84154,0.64829,1.20935,0.81847,1.02803,0.00058268,0.00058268,0.00058268
84,2299.54,0.75091,0.54032,1.11304,0.88472,0.78714,0.84895,0.65486,1.20994,0.66608,1.05995,0.000571031,0.000571031,0.000571031
85,2326.34,0.78154,0.5518,1.11756,0.81049,0.794,0.82858,0.64571,1.17846,0.72073,1.03927,0.000559395,0.000559395,0.000559395
86,2353.26,0.77832,0.56156,1.12275,0.93394,0.79236,0.85496,0.6562,1.21072,0.66345,1.04442,0.000547778,0.000547778,0.000547778
87,2380.11,0.77859,0.55706,1.1051,0.82896,0.84372,0.84352,0.63891,1.2197,0.71355,1.05553,0.000536183,0.000536183,0.000536183
88,2406.93,0.77773,0.54089,1.13157,0.80787,0.80795,0.83027,0.64019,1.19924,0.66798,1.06113,0.000524615,0.000524615,0.000524615
89,2433.7,0.77101,0.51273,1.1154,0.84729,0.80152,0.83733,0.64719,1.18767,0.67625,1.04722,0.000513078,0.000513078,0.000513078
90,2460.54,0.75061,0.52197,1.09783,0.83714,0.80939,0.84836,0.65154,1.20168,0.66063,1.02855,0.000501577,0.000501577,0.000501577
91,2487.79,0.74141,0.49415,1.11603,0.8582,0.80291,0.85109,0.65814,1.20425,0.72566,1.04871,0.000490116,0.000490116,0.000490116
92,2514.67,0.77734,0.53656,1.1306,0.86896,0.81152,0.86736,0.65377,1.21776,0.64986,1.10003,0.0004787,0.0004787,0.0004787
93,2541.54,0.73993,0.50086,1.10103,0.84809,0.80081,0.85679,0.6512,1.23019,0.66271,1.03541,0.000467333,0.000467333,0.000467333
94,2568.48,0.74111,0.51024,1.12394,0.85868,0.82659,0.86191,0.6539,1.24438,0.69222,1.0758,0.00045602,0.00045602,0.00045602
