epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,523.28,0.32038,3.46399,0.19903,0.3251,1.06911,0.99831,1,0.995,0.91227,0.99831,1,0.995,0.54756,0.44261,1.91342,0.28513,0.37336,0.82885,0.000177061,0.000177061,0.000177061
122,528.269,0.30028,3.41874,0.19489,0.31594,1.04338,0.99827,1,0.995,0.91138,0.99827,1,0.995,0.55551,0.45918,1.89379,0.28454,0.39975,0.84385,0.000162941,0.000162941,0.000162941
123,532.876,0.28898,3.35256,0.19774,0.3229,1.05334,0.99821,1,0.995,0.91565,0.99821,1,0.995,0.54541,0.47189,1.92262,0.28895,0.38877,0.85888,0.000149501,0.000149501,0.000149501
124,537.322,0.30895,3.45041,0.19351,0.33768,1.05688,0.99822,1,0.995,0.92152,0.99822,1,0.995,0.56598,0.4743,1.88238,0.29052,0.39111,0.87086,0.000136749,0.000136749,0.000136749
125,541.999,0.30931,3.55693,0.20705,0.3139,1.04683,0.99841,1,0.995,0.92921,0.99841,1,0.995,0.58495,0.4753,1.88581,0.28987,0.3953,0.86424,0.000124691,0.000124691,0.000124691
126,547.045,0.30058,3.40462,0.19553,0.32136,1.06851,0.99844,1,0.995,0.92873,0.99844,1,0.995,0.56203,0.47542,1.85381,0.28003,0.39822,0.85584,0.000113333,0.000113333,0.000113333
127,551.222,0.31248,3.48728,0.19355,0.31383,1.07485,0.99841,1,0.995,0.94032,0.99841,1,0.995,0.54753,0.45684,1.79845,0.27887,0.38539,0.82905,0.000102681,0.000102681,0.000102681
128,555.45,0.31207,3.58606,0.19757,0.31601,1.07663,0.99847,1,0.995,0.93242,0.99847,1,0.995,0.56088,0.44815,1.7829,0.27233,0.37695,0.81518,9.274e-05,9.274e-05,9.274e-05
129,559.898,0.30622,3.34253,0.19648,0.31998,1.05725,0.99848,1,0.995,0.92433,0.99848,1,0.995,0.5676,0.44465,1.84154,0.27436,0.37603,0.81646,8.35152e-05,8.35152e-05,8.35152e-05
130,564.179,0.30558,3.65244,0.20344,0.32017,1.06026,0.9984,1,0.995,0.92498,0.9984,1,0.995,0.55894,0.44001,1.84059,0.27772,0.37421,0.81976,7.50111e-05,7.50111e-05,7.50111e-05
131,570.222,0.36676,2.41654,0.26645,0.42754,1.03319,0.99841,1,0.995,0.93033,0.99841,1,0.995,0.54466,0.42151,1.83888,0.27575,0.3659,0.81009,6.72321e-05,6.72321e-05,6.72321e-05
132,574.383,0.38173,2.08017,0.25507,0.3833,1.0565,0.9984,1,0.995,0.94044,0.9984,1,0.995,0.52283,0.41457,1.8185,0.27981,0.36567,0.80096,6.0182e-05,6.0182e-05,6.0182e-05
133,578.52,0.35783,2.1345,0.27499,0.35176,1.04233,0.99837,1,0.995,0.94405,0.99837,1,0.995,0.49945,0.41073,1.81641,0.28178,0.37307,0.78719,5.38646e-05,5.38646e-05,5.38646e-05
134,582.858,0.32684,2.01009,0.26137,0.34129,0.99272,0.99837,1,0.995,0.94598,0.99837,1,0.995,0.52312,0.41982,1.8132,0.27732,0.38047,0.79001,4.82828e-05,4.82828e-05,4.82828e-05
135,587.743,0.32655,2.01919,0.25552,0.30119,0.97441,0.99838,1,0.995,0.94681,0.99838,1,0.995,0.52206,0.42173,1.82361,0.27374,0.38387,0.80176,4.34396e-05,4.34396e-05,4.34396e-05
136,592.407,0.31028,1.94644,0.26138,0.30631,0.97416,0.99836,1,0.995,0.94221,0.99836,1,0.995,0.53671,0.41581,1.76453,0.27118,0.37743,0.80169,3.93374e-05,3.93374e-05,3.93374e-05
137,596.56,0.31511,1.89333,0.25473,0.29779,0.96975,0.99835,1,0.995,0.94524,0.99835,1,0.995,0.54382,0.41087,1.74643,0.26621,0.37727,0.79919,3.59782e-05,3.59782e-05,3.59782e-05
138,600.672,0.31152,1.97083,0.25241,0.2863,0.96595,0.99836,1,0.995,0.9563,0.99836,1,0.995,0.56516,0.40312,1.72216,0.26678,0.37433,0.7933,3.33637e-05,3.33637e-05,3.33637e-05
139,605.429,0.30341,1.95399,0.23598,0.28893,0.9509,0.99838,1,0.995,0.96398,0.99838,1,0.995,0.55464,0.39248,1.71463,0.26468,0.37028,0.78406,3.14953e-05,3.14953e-05,3.14953e-05
140,609.573,0.32118,2.03561,0.24905,0.30188,0.99652,0.99838,1,0.995,0.96363,0.99838,1,0.995,0.56933,0.38495,1.67654,0.26131,0.36257,0.77697,3.03739e-05,3.03739e-05,3.03739e-05
