epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,181.878,0.39008,0.37819,1.13102,0.99716,1,0.995,0.93122,0.45424,0.42762,0.82836,0.00233308,0.00233308,0.00233308
46,185.592,0.4044,0.38852,1.15598,0.99451,1,0.995,0.94302,0.36724,0.41552,0.77332,0.00230507,0.00230507,0.00230507
47,189.563,0.40208,0.39412,1.11192,0.99645,1,0.995,0.93676,0.4269,0.46698,0.87581,0.00227666,0.00227666,0.00227666
48,193.308,0.42408,0.38532,1.15232,0.99254,1,0.995,0.91898,0.43318,0.40855,0.83302,0.00224786,0.00224786,0.00224786
49,197.048,0.40307,0.39375,1.12262,0.99836,1,0.995,0.89131,0.47029,0.3782,0.84423,0.00221869,0.00221869,0.00221869
50,201.008,0.38919,0.35933,1.13378,1,0.99908,0.995,0.91308,0.42144,0.42099,0.83686,0.00218918,0.00218918,0.00218918
51,206.132,0.40769,0.3791,1.13411,0.99914,1,0.995,0.90825,0.48228,0.40742,0.9236,0.00215932,0.00215932,0.00215932
52,211.304,0.39923,0.36542,1.13821,0.99832,1,0.995,0.89841,0.40141,0.38653,0.8036,0.00212913,0.00212913,0.00212913
53,215.26,0.37387,0.3516,1.10388,0.99847,1,0.995,0.8771,0.5336,0.46506,0.96113,0.00209864,0.00209864,0.00209864
54,219.012,0.3968,0.36663,1.14849,0.99843,1,0.995,0.95856,0.38695,0.38608,0.77762,0.00206786,0.00206786,0.00206786
55,223.006,0.36752,0.34235,1.10677,0.99792,1,0.995,0.91032,0.45471,0.49098,0.80717,0.00203679,0.00203679,0.00203679
56,226.715,0.35247,0.3456,1.09994,0.99826,1,0.995,0.93352,0.37005,0.35252,0.77441,0.00200546,0.00200546,0.00200546
57,230.507,0.34186,0.33441,1.09378,0.99853,1,0.995,0.96245,0.46226,0.49122,0.90331,0.00197389,0.00197389,0.00197389
58,234.571,0.33637,0.31415,1.06967,0.99837,1,0.995,0.91605,0.36546,0.38938,0.74566,0.00194209,0.00194209,0.00194209
59,238.771,0.36054,0.34412,1.09075,0.99844,1,0.995,0.9219,0.49158,0.43379,0.92574,0.00191006,0.00191006,0.00191006
60,242.481,0.37542,0.35477,1.09917,0.99872,1,0.995,0.88916,0.41573,0.37623,0.81799,0.00187785,0.00187785,0.00187785
61,246.3,0.37427,0.3448,1.10445,0.99806,1,0.995,0.94815,0.43823,0.35702,0.86057,0.00184544,0.00184544,0.00184544
62,251.445,0.37301,0.34097,1.11352,0.99834,1,0.995,0.90671,0.41587,0.37325,0.75324,0.00181288,0.00181288,0.00181288
63,257.035,0.33214,0.31445,1.07442,0.99946,1,0.995,0.90629,0.45987,0.39997,0.86563,0.00178016,0.00178016,0.00178016
64,261.3,0.34051,0.34045,1.0805,1,0.99839,0.995,0.96333,0.38602,0.41661,0.79085,0.00174731,0.00174731,0.00174731
65,265.259,0.346,0.3307,1.0815,0.999,1,0.995,0.88057,0.46422,0.47964,0.86031,0.00171434,0.00171434,0.00171434
66,269.034,0.35496,0.32234,1.09639,0.99938,1,0.995,0.92353,0.40677,0.41206,0.80288,0.00168127,0.00168127,0.00168127
67,272.819,0.34191,0.33874,1.10096,0.99856,1,0.995,0.90968,0.4491,0.36926,0.86851,0.00164811,0.00164811,0.00164811
68,276.812,0.33954,0.32735,1.07049,0.99858,1,0.995,0.92035,0.36351,0.36933,0.74493,0.00161489,0.00161489,0.00161489
69,280.508,0.33323,0.3169,1.07596,0.99852,1,0.995,0.9113,0.39104,0.39318,0.72426,0.00158162,0.00158162,0.00158162
70,284.139,0.33044,0.32838,1.05516,0.9985,1,0.995,0.98203,0.31841,0.32936,0.69372,0.00154832,0.00154832,0.00154832
71,288.157,0.33023,0.33055,1.09442,0.99879,1,0.995,0.97065,0.34811,0.32131,0.72268,0.001515,0.001515,0.001515
72,291.849,0.33283,0.33076,1.06683,0.99866,1,0.995,0.9563,0.31587,0.31005,0.70245,0.00148168,0.00148168,0.00148168
73,296.892,0.3129,0.30684,1.04868,0.99855,1,0.995,0.94516,0.30744,0.30153,0.67765,0.00144838,0.00144838,0.00144838
74,301.373,0.31773,0.29021,1.05243,0.99849,1,0.995,0.90187,0.42299,0.34301,0.77256,0.00141511,0.00141511,0.00141511
75,305.788,0.32932,0.31258,1.0801,0.99887,1,0.995,0.92187,0.3383,0.33656,0.72711,0.00138189,0.00138189,0.00138189
76,310.131,0.32023,0.30693,1.05075,0.99978,1,0.995,0.94388,0.32702,0.36064,0.70477,0.00134873,0.00134873,0.00134873
77,313.984,0.28849,0.2929,1.05033,0.99881,1,0.995,0.97494,0.34284,0.35091,0.74581,0.00131566,0.00131566,0.00131566
78,317.821,0.32005,0.30409,1.06464,0.99832,1,0.995,0.94869,0.30791,0.34988,0.6889,0.00128269,0.00128269,0.00128269
79,321.647,0.30486,0.30418,1.05092,0.99837,1,0.995,0.9533,0.33106,0.34432,0.69368,0.00124984,0.00124984,0.00124984
80,325.501,0.29561,0.2877,1.04729,0.99841,1,0.995,0.94571,0.31462,0.32501,0.65128,0.00121712,0.00121712,0.00121712
81,329.297,0.30492,0.2946,1.0434,0.99843,1,0.995,0.9335,0.34538,0.33863,0.69393,0.00118456,0.00118456,0.00118456
82,333.44,0.29964,0.29237,1.04631,0.99837,1,0.995,0.97003,0.37603,0.35621,0.72146,0.00115215,0.00115215,0.00115215
83,338.291,0.28376,0.29059,1.04427,0.99856,1,0.995,0.92244,0.30662,0.37107,0.6577,0.00111994,0.00111994,0.00111994
84,342.001,0.27033,0.28418,1.02606,0.99857,1,0.995,0.94625,0.34589,0.3835,0.71378,0.00108791,0.00108791,0.00108791
85,345.752,0.28641,0.29479,1.03516,0.99859,1,0.995,0.91831,0.32475,0.42507,0.66997,0.00105611,0.00105611,0.00105611
86,349.477,0.29226,0.29926,1.0382,0.99865,1,0.995,0.93811,0.34646,0.39306,0.72794,0.00102454,0.00102454,0.00102454
87,353.366,0.28669,0.27583,1.05166,0.99857,1,0.995,0.96409,0.34479,0.3233,0.72799,0.000993208,0.000993208,0.000993208
