epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,218.165,0.6791,0.99265,0.60687,1.08585,0,0.96644,0.9151,0.95109,0.76014,0.96064,0.90692,0.94609,0.76608,0.89846,1.0824,0.65911,1.13612,0,0.00230736,0.00230736,0.00230736
29,224.776,0.74733,1.07457,0.65141,1.10555,0,0.93922,0.90328,0.95221,0.77359,0.93892,0.89856,0.94943,0.80896,0.87677,1.07845,0.67657,1.12726,0,0.00229324,0.00229324,0.00229324
30,231.979,0.71849,1.02997,0.62303,1.10525,0,0.95792,0.93079,0.9523,0.78815,0.95281,0.92641,0.95501,0.79972,0.7956,1.17324,0.71961,1.05642,0,0.00227867,0.00227867,0.00227867
31,240.68,0.70127,0.98935,0.61047,1.08628,0,0.96884,0.90741,0.94819,0.7439,0.96884,0.90741,0.94841,0.77005,0.88664,1.10661,0.70202,1.12119,0,0.00226366,0.00226366,0.00226366
32,248.322,0.68094,0.97144,0.58165,1.07184,0,0.9818,0.92934,0.95357,0.77934,0.9818,0.92934,0.9545,0.78987,0.85144,0.9922,0.6774,1.09446,0,0.00224821,0.00224821,0.00224821
33,256.295,0.69203,1.01367,0.59093,1.08101,0,0.96675,0.93252,0.95765,0.75387,0.96036,0.92934,0.95325,0.79928,0.8697,0.88981,0.66866,1.06937,0,0.00223232,0.00223232,0.00223232
34,262.809,0.66042,0.9356,0.56889,1.06078,0,0.9727,0.92495,0.96104,0.79426,0.9727,0.92495,0.95632,0.80015,0.7819,0.9976,0.61622,1.00992,0,0.00221601,0.00221601,0.00221601
35,269.824,0.65301,0.91919,0.5614,1.03378,0,0.96782,0.92662,0.95821,0.83437,0.96782,0.92662,0.95816,0.81769,0.69177,1.0159,0.56831,0.98784,0,0.00219928,0.00219928,0.00219928
36,276.799,0.65392,0.99638,0.57625,1.06047,0,0.96785,0.93372,0.96568,0.78646,0.95155,0.92885,0.95225,0.8082,0.85545,1.06613,0.62152,1.1134,0,0.00218214,0.00218214,0.00218214
37,283.845,0.67294,0.95444,0.57055,1.07554,0,0.95459,0.92934,0.96336,0.80409,0.94467,0.91569,0.95433,0.81454,0.81347,1.12423,0.71334,1.04145,0,0.0021646,0.0021646,0.0021646
38,291.232,0.64236,0.9185,0.54743,1.03911,0,0.95308,0.93652,0.97059,0.81102,0.94252,0.92793,0.96185,0.84284,0.77689,0.91965,0.61005,1.03909,0,0.00214666,0.00214666,0.00214666
39,298.871,0.65602,0.98301,0.56336,1.06166,0,0.97901,0.92057,0.96031,0.81541,0.97901,0.92057,0.95762,0.83984,0.76644,1.07268,0.61788,1.02532,0,0.00212833,0.00212833,0.00212833
40,305.581,0.60983,0.86426,0.5287,1.03917,0,0.95134,0.92934,0.96313,0.83067,0.95134,0.92934,0.96431,0.8416,0.70154,1.00371,0.58998,1.00384,0,0.00210963,0.00210963,0.00210963
41,312.332,0.62233,0.8797,0.5351,1.04525,0,0.9739,0.9039,0.94025,0.79777,0.9739,0.9039,0.93726,0.81752,0.77232,1.0294,0.72212,1.04131,0,0.00209055,0.00209055,0.00209055
42,320.702,0.61597,0.87747,0.53207,1.03512,0,0.98837,0.93372,0.96207,0.82493,0.98837,0.93372,0.96262,0.82559,0.748,0.91506,0.62209,1.01481,0,0.00207111,0.00207111,0.00207111
43,328.699,0.60768,0.90724,0.52926,1.02959,0,0.97007,0.94242,0.96868,0.83334,0.97007,0.94242,0.96439,0.82177,0.73986,1.00133,0.64761,1.01776,0,0.00205131,0.00205131,0.00205131
44,335.552,0.61669,0.90117,0.52998,1.02303,0,0.95479,0.95318,0.971,0.82658,0.95781,0.96004,0.96782,0.83683,0.74644,0.94036,0.5938,1.00382,0,0.00203117,0.00203117,0.00203117
45,342.822,0.60337,0.85083,0.51886,1.02465,0,0.97454,0.93892,0.9667,0.81346,0.97547,0.93811,0.9655,0.82579,0.76368,1.06609,0.61758,0.99123,0,0.00201069,0.00201069,0.00201069
