epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
121,854.826,0.39958,0.50897,0.32815,0.90981,0,0.95984,0.97807,0.98238,0.90971,0.96393,0.96442,0.97611,0.88857,0.50056,0.85203,0.37747,0.86519,0,0.000261341,0.000261341,0.000261341
122,861.451,0.39474,0.49688,0.3294,0.90872,0,0.9704,0.98082,0.98379,0.91004,0.98022,0.96881,0.97848,0.88651,0.50151,0.86822,0.3827,0.86573,0,0.000246328,0.000246328,0.000246328
123,869.068,0.38309,0.49796,0.31872,0.90809,0,0.9828,0.96881,0.98292,0.90954,0.9828,0.96881,0.97796,0.88448,0.50077,0.88661,0.37678,0.86709,0,0.00023176,0.00023176,0.00023176
124,877.008,0.38565,0.50596,0.3223,0.90592,0,0.97914,0.96306,0.98187,0.91264,0.97914,0.96306,0.97661,0.8828,0.49583,0.88507,0.36596,0.86988,0,0.000217644,0.000217644,0.000217644
125,884.005,0.38727,0.50364,0.32664,0.913,0,0.98065,0.96119,0.98292,0.90691,0.98065,0.96119,0.97737,0.8861,0.52764,0.87669,0.36935,0.87079,0,0.000203987,0.000203987,0.000203987
126,890.981,0.37332,0.4749,0.31125,0.90255,0,0.98255,0.9726,0.98286,0.91301,0.97637,0.96442,0.97759,0.88775,0.49538,0.85622,0.36075,0.8748,0,0.000190794,0.000190794,0.000190794
127,898.086,0.37645,0.47124,0.3117,0.90275,0,0.9835,0.97283,0.98242,0.90968,0.97591,0.96442,0.97746,0.89227,0.50079,0.85112,0.36121,0.86729,0,0.00017807,0.00017807,0.00017807
128,906.032,0.36753,0.45189,0.31393,0.90131,0,0.98421,0.97223,0.98307,0.90704,0.97816,0.96442,0.97732,0.89242,0.51247,0.83664,0.35713,0.87005,0,0.000165823,0.000165823,0.000165823
129,913.086,0.38445,0.50123,0.32715,0.89816,0,0.98541,0.97149,0.98297,0.90835,0.97895,0.96272,0.97732,0.8851,0.50497,0.81426,0.36082,0.8738,0,0.000154057,0.000154057,0.000154057
130,920.452,0.37618,0.48359,0.31553,0.90095,0,0.98364,0.97194,0.98322,0.91407,0.97834,0.96335,0.98346,0.88952,0.50015,0.81117,0.3552,0.86786,0,0.000142777,0.000142777,0.000142777
131,927.562,0.35855,0.43221,0.30676,0.89155,0,0.98305,0.97191,0.98338,0.91104,0.97685,0.96442,0.98343,0.89973,0.48945,0.81413,0.35553,0.86335,0,0.000131987,0.000131987,0.000131987
132,933.988,0.37623,0.45978,0.31501,0.9008,0,0.97981,0.97393,0.98331,0.91092,0.9797,0.95988,0.98247,0.88731,0.49263,0.83807,0.35658,0.86913,0,0.000121694,0.000121694,0.000121694
133,940.978,0.37945,0.46956,0.31441,0.90238,0,0.9804,0.97033,0.98301,0.91133,0.97221,0.96106,0.97708,0.88447,0.49904,0.85525,0.35977,0.87339,0,0.000111902,0.000111902,0.000111902
134,947.676,0.37051,0.46991,0.31035,0.9082,0,0.97926,0.96838,0.98279,0.91084,0.97267,0.96004,0.97709,0.89521,0.48823,0.85436,0.35855,0.8697,0,0.000102614,0.000102614,0.000102614
135,954.361,0.37304,0.46987,0.31356,0.89765,0,0.98533,0.97288,0.98422,0.91209,0.97776,0.96442,0.97886,0.8953,0.48622,0.85249,0.35643,0.86826,0,9.38342e-05,9.38342e-05,9.38342e-05
136,962.463,0.37119,0.51057,0.31467,0.90038,0,0.98606,0.97751,0.98451,0.90985,0.97769,0.9643,0.97732,0.88765,0.4968,0.86141,0.35909,0.86779,0,8.55676e-05,8.55676e-05,8.55676e-05
137,969.778,0.36746,0.46909,0.31204,0.90169,0,0.98063,0.97318,0.98345,0.91018,0.9775,0.96442,0.9778,0.88762,0.49806,0.86775,0.3598,0.86673,0,7.78171e-05,7.78171e-05,7.78171e-05
138,977.091,0.37272,0.45243,0.31478,0.89774,0,0.98049,0.96962,0.98325,0.91151,0.97416,0.96004,0.97761,0.88421,0.49434,0.86435,0.3563,0.86683,0,7.05863e-05,7.05863e-05,7.05863e-05
139,983.77,0.35516,0.47922,0.29987,0.89852,0,0.97302,0.97368,0.98334,0.91039,0.97146,0.96089,0.9788,0.88852,0.49843,0.85541,0.3525,0.86296,0,6.38783e-05,6.38783e-05,6.38783e-05
140,990.891,0.36633,0.45763,0.31507,0.89431,0,0.97145,0.98131,0.98325,0.91422,0.97765,0.95534,0.97818,0.88346,0.4965,0.85671,0.35184,0.85985,0,5.76961e-05,5.76961e-05,5.76961e-05
141,1000.03,0.39164,0.37573,0.35692,0.87209,0,0.98454,0.97212,0.98244,0.91006,0.97611,0.96313,0.97468,0.87179,0.48574,0.85492,0.36393,0.86013,0,5.20423e-05,5.20423e-05,5.20423e-05
142,1007.31,0.38847,0.37524,0.32415,0.86988,0,0.98086,0.97305,0.98248,0.90916,0.97457,0.96442,0.9753,0.87677,0.49255,0.85534,0.37214,0.86581,0,4.69195e-05,4.69195e-05,4.69195e-05
143,1013.56,0.3783,0.37158,0.30914,0.86566,0,0.9802,0.9731,0.98245,0.91104,0.97393,0.96442,0.97638,0.87365,0.49483,0.85549,0.38766,0.87077,0,4.23299e-05,4.23299e-05,4.23299e-05
144,1021.86,0.388,0.39368,0.31708,0.87162,0,0.97839,0.97699,0.98268,0.9095,0.9733,0.96442,0.97646,0.87404,0.49776,0.85242,0.38354,0.87412,0,3.82755e-05,3.82755e-05,3.82755e-05
145,1030.41,0.38315,0.37935,0.30977,0.86839,0,0.9784,0.97449,0.98249,0.91249,0.97467,0.96442,0.97647,0.87388,0.49738,0.85911,0.38423,0.87346,0,3.47581e-05,3.47581e-05,3.47581e-05
146,1037.87,0.37833,0.37493,0.30924,0.86561,0,0.98185,0.97272,0.9826,0.91183,0.97482,0.96442,0.9767,0.87998,0.49959,0.84971,0.37855,0.87457,0,3.17792e-05,3.17792e-05,3.17792e-05
147,1046.81,0.37517,0.37552,0.30541,0.87023,0,0.98124,0.97349,0.98267,0.90924,0.97519,0.96442,0.97656,0.88183,0.49956,0.85564,0.36812,0.87525,0,2.93401e-05,2.93401e-05,2.93401e-05
148,1053.91,0.3759,0.38116,0.30532,0.87287,0,0.97967,0.97389,0.98268,0.9086,0.97671,0.96127,0.97823,0.88116,0.49514,0.85496,0.36512,0.87425,0,2.74419e-05,2.74419e-05,2.74419e-05
149,1061.33,0.37185,0.35927,0.29976,0.87554,0,0.97823,0.97675,0.98259,0.90896,0.97798,0.95865,0.97669,0.87716,0.49102,0.8557,0.35814,0.87051,0,2.60855e-05,2.60855e-05,2.60855e-05
150,1068.03,0.36463,0.36508,0.29501,0.8622,0,0.97927,0.97642,0.98182,0.91067,0.97782,0.96004,0.97604,0.87691,0.48808,0.8588,0.35586,0.86853,0,2.52714e-05,2.52714e-05,2.52714e-05
