epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.167,0.75719,2.82037,1.15692,0.62484,0.66503,0.67056,0.54145,0.73852,1.44252,1.20184,0.00332258,0.00332258,0.0700968
2,436.856,0.64898,1.60276,1.06236,0.82182,0.59037,0.71293,0.57233,0.68993,1.09066,1.09061,0.00599698,0.00599698,0.0394378
3,649.787,0.68542,1.36987,1.077,0.59251,0.70524,0.71061,0.53492,0.85191,1.51277,1.23292,0.00801138,0.00801138,0.0081189
