epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,229.726,1.07542,0.56358,0.84896,0.86728,0.79444,0.83267,0.53101,1.01572,0.55693,0.85638,0.0021202,0.0021202,0.0021202
43,234.736,1.0336,0.56366,0.85593,0.83965,0.7744,0.83297,0.52146,0.99855,0.53956,0.85486,0.00210252,0.00210252,0.00210252
44,239.603,1.0148,0.53514,0.83871,0.86556,0.79504,0.82493,0.51642,0.99436,0.54604,0.86156,0.00208451,0.00208451,0.00208451
45,244.493,0.98829,0.51717,0.84224,0.86641,0.78659,0.84304,0.53301,0.96288,0.51035,0.84945,0.00206619,0.00206619,0.00206619
46,249.624,0.98659,0.51482,0.84397,0.85839,0.83966,0.85278,0.54411,0.93714,0.50022,0.84648,0.00204756,0.00204756,0.00204756
47,254.715,0.96676,0.50914,0.83802,0.8842,0.79967,0.82863,0.54069,0.97011,0.50174,0.84785,0.00202863,0.00202863,0.00202863
48,259.631,0.96973,0.50507,0.84297,0.88572,0.7881,0.84086,0.56056,0.96034,0.48249,0.84925,0.0020094,0.0020094,0.0020094
49,265.497,0.97473,0.50591,0.84088,0.85621,0.79686,0.81828,0.54125,0.9608,0.49652,0.85097,0.00198988,0.00198988,0.00198988
50,270.949,0.97343,0.50238,0.82832,0.89863,0.80252,0.85147,0.5498,0.9198,0.47579,0.84552,0.00197009,0.00197009,0.00197009
51,276.186,1.00011,0.50619,0.84084,0.90412,0.77135,0.84346,0.53191,0.96378,0.51235,0.85388,0.00195002,0.00195002,0.00195002
52,282.367,0.99989,0.50677,0.8369,0.91046,0.75055,0.8304,0.49969,1.03624,0.52741,0.8719,0.00192968,0.00192968,0.00192968
53,287.492,0.98961,0.5148,0.83833,0.85059,0.81708,0.85025,0.55099,0.95467,0.50538,0.85096,0.00190909,0.00190909,0.00190909
54,292.87,1.03081,0.523,0.85676,0.82134,0.75266,0.82337,0.49926,1.04304,0.55313,0.87536,0.00188825,0.00188825,0.00188825
